?日本	83.74	80.91	86.58
?意大利	83.31	80	86.49
?瑞士	82.84	80.27	85.23
?新加坡	82.66	80.43	84.74
?以色列	82.64	79.59	85.61
?冰岛	82.3	80.73	83.84
?西班牙	82.28	79.42	85.05
?澳大利亚	82.1	79.93	84.28
?香港	82.07	80.18	83.82
?瑞典	81.93	80.1	83.71
?法国?(法国本土)	81.85	78.76	84.87
?加拿大	81.78	79.69	83.78
?新西兰	81.56	79.71	83.35
?韩国	81.43	77.95	84.63
?卢森堡	81.34	78.94	83.65
?挪威	81.32	79.22	83.38
?荷兰	81.31	79.36	83.14
?智利	81.21	78.09	84.12
?马提尼克?(?法国)	81.18	77.79	84.36
?奥地利	81.09	78.47	83.59
?德国	80.66	78.18	83.06
?希腊	80.6	77.64	83.6
?爱尔兰	80.57	78.4	82.74
?瓜德罗普?(?法国)	80.56	76.83	83.98
?葡萄牙	80.55	77.43	83.5
?比利时	80.53	77.95	83.02
?芬兰	80.53	77.6	83.4
海峡群岛?(?英国)	80.45	78.45	82.39
?英国	80.45	78.45	82.39
?马耳他	80.3	78.55	81.98
?澳门	80.3	78.07	82.51
?斯洛文尼亚	80.08	76.92	83.14
?美属维尔京群岛?(?美国)	80.06	77.24	82.92
?丹麦	79.99	78	81.94
?塞浦路斯	79.9	77.69	82.17
?留尼汪?(?法国)	79.54	76.04	82.9
?马约特?(?法国)	79.34	76.04	82.9
?中华民国	79.26	76.43	82.3
?波多黎各?(?美国)	79.22	75.19	83.17
?哥斯达黎加	79.16	76.7	81.69
?古巴	79.16	77.1	81.27
?法属圭亚那?(?法国)	78.98	75.75	82.58
?美国	78.88	76.47	81.25
?黎巴嫩	78.86	77.14	80.87
?关岛?(?美国)	78.72	76.14	81.47
?文莱	78.44	76.64	80.39
?捷克	78.35	75.36	81.27
?卡塔尔	77.89	77.1	79.68
?库拉索?(?荷兰)	77.77	74.5	80.7
?阿尔巴尼亚	77.49	75.04	80.19
?巴拿马	77.32	74.34	80.49
?波兰	77.14	73.06	81.14
?克罗地亚	77.05	73.64	80.38
?乌拉圭	76.96	73.25	80.44
?阿联酋	76.67	76.02	78.23
?爱沙尼亚	76.52	71.57	81.05
?墨西哥	76.48	74.04	78.93
?巴林	76.38	75.58	77.42
?马尔代夫	76.36	75.4	77.41
?阿曼	76.33	74.66	78.85
?波黑	76.26	73.71	78.82
?新喀里多尼亚?(?法国)	76.19	73.55	79.31
?法属波利尼西亚?(?法国)	76.12	73.97	78.55
?斯洛伐克	76.04	72.24	79.73
?黑山	76.02	73.83	78.18
?阿根廷	76.01	72.15	79.83
?安提瓜和巴布达	75.82	73.29	78.21
?越南	75.57	70.73	80.31
?厄瓜多尔	75.54	72.82	78.37
?牙买加	75.44	73.07	77.89
?中华人民共和国	75.43	73.97	77.02
?阿鲁巴?(?荷兰)	75.39	72.89	77.76
?巴巴多斯	75.37	72.91	77.71
?马其顿	75.16	72.87	77.48
?巴哈马	75.15	72.02	78.09
?伊朗	75.06	73.98	76.22
?匈牙利	74.98	71.23	78.54
?土耳其	74.84	71.53	78.12
?圣卢西亚	74.81	72.17	77.57
?塞尔维亚	74.65	71.83	77.5
?斯里兰卡	74.64	71.24	78.03
?格鲁吉亚	74.64	70.91	78.14
?突尼斯	74.6	72.3	77.04
?亚美尼亚	74.56	70.74	78.39
?马来西亚	74.5	72.21	76.88
?尼加拉瓜	74.47	71.38	77.48
?罗马尼亚	74.46	70.92	78.07
?阿尔及利亚	74.42	72.14	76.84
?科威特	74.28	73.34	75.56
?毛里求斯	74.15	70.67	77.74
?秘鲁	74.15	71.54	76.84
?泰国	74.14	70.83	77.58
?沙特阿拉伯	74.08	72.82	75.47
?巴西	74.05	70.29	77.86
?保加利亚	74.04	70.64	77.56
?委内瑞拉	73.95	69.93	78.24
?拉脱维亚	73.95	68.85	78.68
?约旦	73.79	72.21	75.52
?哥伦比亚	73.75	70.19	77.39
?摩洛哥	73.61	72.6	74.62
?多米尼加	73.19	70.16	76.45
?格林纳达	73.17	70.78	75.59
?立陶宛	73.07	67.39	78.78
?萨摩亚	73.02	70.02	76.39
?佛得角	72.97	71.05	74.65
?塞舌尔	72.94	68.69	77.91
?洪都拉斯	72.83	70.39	75.4
?圣文森特和格林纳丁斯	72.75	70.7	74.9
?巴拉圭	72.74	70.7	74.92
?巴勒斯坦	72.65	70.74	74.66
?萨尔瓦多	72.64	67.89	77.08
?汤加	72.6	69.72	75.56
?瓦努阿图	71.48	69.59	73.6
?利比亚	71.47	68.79	74.41
?危地马拉	71.47	67.92	74.98
?摩尔多瓦	71.33	67.22	75.43
?白俄罗斯	71.08	65.29	76.97
?孟加拉国	71.01	69.85	72.26
?苏里南	70.9	67.81	74.18
?埃及	70.84	68.71	73.05
?乌克兰	70.76	65.73	75.67
?阿塞拜疆	70.62	67.54	73.77
?吉尔吉斯斯坦	70.26	66.35	74.29
?特立尼达和多巴哥	70.23	66.87	73.84
?朝鲜	69.91	66.3	73.27
?俄罗斯联邦	69.83	64.15	75.55
?伯利兹	69.76	67.19	72.72
?斐济	69.72	66.93	72.89
?叙利亚	69.51	63.98	76.26
?伊拉克	69.19	66.99	71.44
?塔吉克斯坦	69.07	65.9	72.84
?哈萨克斯坦	69.07	64.29	73.87
?尼泊尔	69.03	67.64	70.45
?密克罗尼西亚联邦	68.93	67.99	69.85
?蒙古	68.89	64.76	73.29
?不丹	68.88	68.63	69.09
?印尼	68.59	66.61	70.7
?乌兹别克斯坦	68.25	64.9	71.61
?菲律宾	67.99	64.72	71.55
?东帝汶	67.73	66.06	69.51
?玻利维亚	67.72	65.34	70.21
西撒哈拉	67.61	65.89	69.81
?柬埔寨	67.61	65.5	69.55
?所罗门群岛	67.53	66.19	69.03
?印度	67.47	66.13	68.93
?圭亚那	66.24	64.03	68.59
?圣多美和普林西比	66.23	64.23	68.19
?巴基斯坦	65.88	64.99	66.84
?塞内加尔	65.81	63.86	67.61
?基里巴斯	65.74	62.55	68.93
?缅甸	65.64	63.58	67.66
?老挝	65.51	64.14	66.84
?土库曼斯坦	65.39	61.31	69.69
?马达加斯加	64.5	63.02	66
?纳米比亚	64.34	61.58	66.95
